City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,Paradip Garh,20.3167,86.6167,301.74,84,98,3.38,IN,1689961301
287,Yellowknife,62.456,-114.3525,297.44,46,100,3.6,CA,1689961273
288,Bethel,41.3712,-73.414,301.2,64,75,6.17,US,1689961271
289,Waitangi,-43.9535,-176.5597,284.16,95,100,4.02,NZ,1689961769
290,Angaur State,6.906,134.13,301.42,80,98,6.89,PW,1689961301
291,Georgetown,5.4112,100.3354,301.12,89,20,1.54,MY,1689961181
292,Mitsamiouli,-11.3847,43.2844,299.31,78,75,1.03,KM,1689961302
293,Ushuaia,-54.8,-68.3,271.96,69,20,7.2,AR,1689961768
294,Lihue,21.9789,-159.3672,299.92,81,75,8.23,US,1689961229
295,Tralee,52.2704,-9.7026,288.29,77,100,5.14,IE,1689961295
296,Camacupa,-12.0167,17.4833,296.59,25,72,1.08,AO,1689961302
297,Invercargill,-46.4,168.35,273.16,99,11,0.89,NZ,1689961557
298,Punta Arenas,-53.15,-70.9167,270.99,100,100,2.01,CL,1689961277
299,Georgetown,5.4112,100.3354,301.12,89,20,1.54,MY,1689961181
300,Bilibino,68.0546,166.4372,291.85,60,77,1.19,RU,1689961778
301,Corlette,-32.7201,152.1085,284.7,91,79,4.92,AU,1689961303
302,Anadyr,64.75,177.4833,285.43,93,40,1.0,RU,1689961278
303,Ploneour-Lanvern,47.9,-4.2833,292.33,59,0,6.17,FR,1689961303
304,Mitsamiouli,-11.3847,43.2844,299.31,78,75,1.03,KM,1689961302
305,Chonchi,-42.6128,-73.8092,282.1,97,100,3.54,CL,1689961297
306,Georgetown,5.4112,100.3354,301.12,89,20,1.54,MY,1689961810
307,Grytviken,-54.2811,-36.5092,274.46,98,100,5.56,GS,1689961270
308,Vila Franca Do Campo,37.7167,-25.4333,295.38,86,100,1.02,PT,1689961422
309,Punta Arenas,-53.15,-70.9167,270.99,100,100,2.01,CL,1689961277
310,Kruisfontein,-34.0033,24.7314,287.49,59,1,4.05,ZA,1689961303
311,Nemuro,43.3236,145.575,287.46,98,27,5.26,JP,1689961304
312,Tomatlan,19.9333,-105.25,309.48,38,44,3.19,MX,1689961304
313,Susuman,62.7833,148.1667,289.41,65,5,2.37,RU,1689961304
314,Iqaluit,63.7506,-68.5145,280.0,87,75,3.6,CA,1689961284
315,Hilo,19.7297,-155.09,297.38,85,75,3.6,US,1689961259
316,Qaqortoq,60.7167,-46.0333,278.29,97,92,3.3,GL,1689961275
317,Mejit,10.2753,170.8646,301.35,77,97,8.78,MH,1689961289
318,Tiksi,71.6872,128.8694,278.75,75,57,3.87,RU,1689961778
319,Waitangi,-43.9535,-176.5597,284.16,95,100,4.02,NZ,1689961769
320,Port-Aux-Francais,-49.35,70.2167,273.61,61,94,17.75,TF,1689961178
321,Port-Aux-Francais,-49.35,70.2167,273.61,61,94,17.75,TF,1689961178
322,Ushuaia,-54.8,-68.3,271.96,69,20,7.2,AR,1689961768
323,Adamstown,-25.066,-130.1015,294.01,70,41,13.82,PN,1689961772
324,Santa Terezinha,-29.9002,-50.0904,292.94,81,2,5.69,BR,1689961305
325,Port-Aux-Francais,-49.35,70.2167,273.61,61,94,17.75,TF,1689961178
326,Labytnangi,66.6572,66.4183,292.0,86,100,1.61,RU,1689961238
327,Wailua Homesteads,22.0669,-159.378,299.59,89,75,8.23,US,1689961189
328,Port-Aux-Francais,-49.35,70.2167,273.61,61,94,17.75,TF,1689961178
329,Smithers,54.7804,-127.1743,288.33,94,100,2.57,CA,1689961813
330,Adamstown,-25.066,-130.1015,294.01,70,41,13.82,PN,1689961772
331,Kone,-21.0595,164.8658,288.72,81,43,0.17,NC,1689961306
332,Jayapura,-2.5333,140.7,297.81,93,81,2.06,ID,1689961306
333,Port Mathurin,-19.6833,63.4167,296.72,67,2,8.21,MU,1689961189
334,Ulaangom,49.9811,92.0667,290.81,59,17,0.23,MN,1689961306
335,Longyearbyen,78.2186,15.6401,281.06,81,75,6.69,SJ,1689961272
336,Markaz-E Hukumat-E Darweshan,31.1323,64.1934,308.17,12,79,3.98,AF,1689961307
337,Tahe,52.3333,124.7333,285.93,70,84,1.0,CN,1689961307
338,Columbus,39.9612,-82.9988,299.64,66,100,4.63,US,1689961094
339,Waitangi,-43.9535,-176.5597,284.16,95,100,4.02,NZ,1689961769
340,Colac,-38.3333,143.5833,279.91,94,39,2.17,AU,1689961096
341,Adamstown,-25.066,-130.1015,294.01,70,41,13.82,PN,1689961772
342,Bethel,41.3712,-73.414,301.2,64,75,6.17,US,1689961271
343,Grytviken,-54.2811,-36.5092,274.46,98,100,5.56,GS,1689961270
344,Iskateley,67.6803,53.1512,284.54,89,80,7.08,RU,1689961283
345,Ain Sukhna,29.6002,32.3167,304.62,24,0,5.99,EG,1689961308
346,Tuy Hoa,13.0833,109.3,298.67,93,100,1.36,VN,1689961308
